"Location","Species","Year","Session","spp.ann.tot","net.hours","notes","yrs.obs","max.obs","min.obs"
"PALO","COYE",2002,1,0,941,"",0,1,0
"PALO","COYE",2003,1,0,995,"",0,1,0
"PALO","COYE",2008,1,0,591.5,"",0,1,0
"PALO","COYE",2004,1,0,971.5,"",0,1,0
"PALO","GABU",2003,1,1,995,"",5,4,0
"PALO","GABU",2001,1,NA,0,"",5,4,0
"PALO","GABU",2008,1,1,591.5,"",5,4,0
"PALO","GABU",2007,1,4,1085.8,"",5,4,0
"PALO","GABU",1997,1,1,743.1,"",5,4,0
"PALO","GABU",2010,1,1,1095,"",5,4,0
"PALO","GABU",2006,1,4,674.8,"",5,4,0
"PALO","GABU",1998,1,2,921,"",5,4,0
"PALO","GABU",2004,1,0,971.5,"",5,4,0
"PALO","GABU",2000,1,NA,0,"",5,4,0
"PALO","GABU",2009,1,1,1105,"",5,4,0
"PALO","GABU",2005,1,2,895.8,"",5,4,0
"PALO","GABU",2002,1,4,941,"",5,4,0
"PALO","GAEL",2004,1,3,971.5,"",2,3,0
"PALO","GAEL",2002,1,0,941,"",2,3,0
"PALO","GAEL",2008,1,0,591.5,"",2,3,0
"PALO","GAEL",2003,1,0,995,"",2,3,0
"PALO","GAEL",2001,1,NA,0,"",2,3,0
"PALO","GAEL",1997,1,1,743.1,"",2,3,0
"PALO","GAEL",2009,1,1,1105,"",2,3,0
"PALO","GAEL",2005,1,1,895.8,"",2,3,0
"PALO","GAEL",2010,1,0,1095,"",2,3,0
"PALO","GAEL",2000,1,NA,0,"",2,3,0
"PALO","GAEL",2007,1,1,1085.8,"",2,3,0
"PALO","GAEL",1998,1,3,921,"",2,3,0
"PALO","GAEL",2006,1,0,674.8,"",2,3,0
"PALO","GRCA",2009,1,0,1105,"",0,0,0
"PALO","GRCA",1997,1,0,743.1,"",0,0,0
"PALO","GRCA",2001,1,NA,0,"",0,0,0
"PALO","GRCA",2006,1,0,674.8,"",0,0,0
"PALO","GRCA",2007,1,0,1085.8,"",0,0,0
"PALO","GRCA",2000,1,NA,0,"",0,0,0
"PALO","GRCA",1998,1,0,921,"",0,0,0
"PALO","GRCA",2002,1,0,941,"",0,0,0
"PALO","GRCA",2008,1,0,591.5,"",0,0,0
"PALO","GRCA",2005,1,0,895.8,"",0,0,0
"PALO","GRCA",2004,1,0,971.5,"",0,0,0
"PALO","GRCA",2003,1,0,995,"",0,0,0
"PALO","GRCA",2010,1,0,1095,"",0,0,0
"PALO","GTGT",2004,1,5,971.5,"",10,9,1
"PALO","GTGT",2009,1,5,1105,"",10,9,1
"PALO","GTGT",2001,1,NA,0,"",10,9,1
"PALO","GTGT",2007,1,4,1085.8,"",10,9,1
"PALO","GTGT",2000,1,NA,0,"",10,9,1
"PALO","GTGT",2005,1,4,895.8,"",10,9,1
"PALO","GTGT",1998,1,9,921,"",10,9,1
"PALO","GTGT",2003,1,8,995,"",10,9,1
"PALO","GTGT",1997,1,5,743.1,"",10,9,1
"PALO","GTGT",2010,1,8,1095,"",10,9,1
"PALO","GTGT",2008,1,7,591.5,"",10,9,1
"PALO","GTGT",2002,1,6,941,"",10,9,1
"PALO","GTGT",2006,1,1,674.8,"",10,9,1
"PALO","HHTA",2004,1,0,971.5,"",4,10,0
"PALO","HHTA",2005,1,0,895.8,"",4,10,0
"PALO","HHTA",2001,1,NA,0,"",4,10,0
"PALO","HHTA",2009,1,2,1105,"",4,10,0
"PALO","HHTA",1998,1,3,921,"",4,10,0
"PALO","HHTA",1997,1,10,743.1,"",4,10,0
"PALO","HHTA",2002,1,1,941,"",4,10,0
"PALO","HHTA",2008,1,1,591.5,"",4,10,0
"PALO","HHTA",2000,1,NA,0,"",4,10,0
"PALO","HHTA",2003,1,1,995,"",4,10,0
"PALO","HHTA",2006,1,1,674.8,"",4,10,0
"PALO","HHTA",2010,1,0,1095,"",4,10,0
"PALO","HHTA",2007,1,2,1085.8,"",4,10,0
"PALO","HIEM",2009,1,1,1105,"",8,9,0
"PALO","HIEM",1997,1,3,743.1,"",8,9,0
"PALO","HIEM",2000,1,NA,0,"",8,9,0
"PALO","HIEM",2005,1,7,895.8,"",8,9,0
"PALO","HIEM",2007,1,0,1085.8,"",8,9,0
"PALO","HIEM",2006,1,0,674.8,"",8,9,0
"PALO","HIEM",2008,1,3,591.5,"",8,9,0
"PALO","HIEM",1998,1,6,921,"",8,9,0
"PALO","HIEM",2001,1,NA,0,"",8,9,0
"PALO","HIEM",2003,1,5,995,"",8,9,0
"PALO","HIEM",2002,1,9,941,"",8,9,0
"PALO","HIEM",2010,1,3,1095,"",8,9,0
"PALO","HIEM",2004,1,2,971.5,"",8,9,0
"PALO","HILC",2010,1,0,1095,"",0,0,0
"PALO","HILC",2006,1,0,674.8,"",0,0,0
"PALO","HILC",2001,1,NA,0,"",0,0,0
"PALO","HILC",1998,1,0,921,"",0,0,0
"PALO","HILC",2008,1,0,591.5,"",0,0,0
"PALO","HILC",2002,1,0,941,"",0,0,0
"PALO","HILC",2009,1,0,1105,"",0,0,0
"PALO","HILC",2004,1,0,971.5,"",0,0,0
"PALO","HILC",1997,1,0,743.1,"",0,0,0
"PALO","HILC",2005,1,0,895.8,"",0,0,0
"PALO","HILC",2000,1,NA,0,"",0,0,0
"PALO","HILC",2003,1,0,995,"",0,0,0
"PALO","HILC",2007,1,0,1085.8,"",0,0,0
"PALO","HIPE",2009,1,0,1105,"",6,4,0
"PALO","HIPE",2008,1,4,591.5,"",6,4,0
"PALO","HIPE",2000,1,NA,0,"",6,4,0
"PALO","HIPE",2002,1,2,941,"",6,4,0
"PALO","HIPE",2005,1,1,895.8,"",6,4,0
"PALO","HIPE",2001,1,NA,0,"",6,4,0
"PALO","HIPE",2004,1,2,971.5,"",6,4,0
"PALO","HIPE",2003,1,2,995,"",6,4,0
"PALO","HIPE",2006,1,2,674.8,"",6,4,0
"PALO","HIPE",2007,1,0,1085.8,"",6,4,0
"PALO","HIPE",1997,1,3,743.1,"",6,4,0
"PALO","HIPE",1998,1,0,921,"",6,4,0
"PALO","HIPE",2010,1,0,1095,"",6,4,0
"PALO","HIPK",2009,1,0,1105,"",0,0,0
"PALO","HIPK",2010,1,0,1095,"",0,0,0
"PALO","HIPK",2001,1,NA,0,"",0,0,0
"PALO","HIPK",2003,1,0,995,"",0,0,0
"PALO","HIPK",1998,1,0,921,"",0,0,0
"PALO","HIPK",2006,1,0,674.8,"",0,0,0
"PALO","HIPK",2004,1,0,971.5,"",0,0,0
"PALO","HIPK",2008,1,0,591.5,"",0,0,0
"PALO","HIPK",2007,1,0,1085.8,"",0,0,0
"PALO","HIPK",2005,1,0,895.8,"",0,0,0
"PALO","HIPK",1997,1,0,743.1,"",0,0,0
"PALO","HIPK",2000,1,NA,0,"",0,0,0
"PALO","HIPK",2002,1,0,941,"",0,0,0
"PALO","HISP",1997,1,4,743.1,"",8,6,0
"PALO","HISP",1998,1,1,921,"",8,6,0
"PALO","HISP",2004,1,2,971.5,"",8,6,0
"PALO","HISP",2008,1,2,591.5,"",8,6,0
"PALO","HISP",2010,1,6,1095,"",8,6,0
"PALO","HISP",2006,1,2,674.8,"",8,6,0
"PALO","HISP",2001,1,NA,0,"",8,6,0
"PALO","HISP",2003,1,0,995,"",8,6,0
"PALO","HISP",2000,1,NA,0,"",8,6,0
"PALO","HISP",2002,1,3,941,"",8,6,0
"PALO","HISP",2007,1,2,1085.8,"",8,6,0
"PALO","HISP",2009,1,2,1105,"",8,6,0
"PALO","HISP",2005,1,1,895.8,"",8,6,0
"PALO","HITR",2005,1,1,895.8,"",0,1,0
"PALO","HITR",2000,1,NA,0,"",0,1,0
"PALO","HITR",2001,1,NA,0,"",0,1,0
"PALO","HITR",2004,1,0,971.5,"",0,1,0
"PALO","HITR",2006,1,0,674.8,"",0,1,0
"PALO","HITR",2003,1,1,995,"",0,1,0
"PALO","HITR",1998,1,0,921,"",0,1,0
"PALO","HITR",2002,1,1,941,"",0,1,0
"PALO","HITR",2007,1,0,1085.8,"",0,1,0
"PALO","HITR",2010,1,1,1095,"",0,1,0
"PALO","HITR",1997,1,0,743.1,"",0,1,0
"PALO","HITR",2009,1,0,1105,"",0,1,0
"PALO","HITR",2008,1,0,591.5,"",0,1,0
"PALO","HIWO",2007,1,1,1085.8,"",5,2,0
"PALO","HIWO",2003,1,2,995,"",5,2,0
"PALO","HIWO",1998,1,0,921,"",5,2,0
"PALO","HIWO",2004,1,0,971.5,"",5,2,0
"PALO","HIWO",2010,1,0,1095,"",5,2,0
"PALO","HIWO",2006,1,0,674.8,"",5,2,0
"PALO","HIWO",2001,1,NA,0,"",5,2,0
"PALO","HIWO",2009,1,2,1105,"",5,2,0
"PALO","HIWO",1997,1,2,743.1,"",5,2,0
"PALO","HIWO",2000,1,NA,0,"",5,2,0
"PALO","HIWO",2008,1,2,591.5,"",5,2,0
"PALO","HIWO",2002,1,0,941,"",5,2,0
"PALO","HIWO",2005,1,2,895.8,"",5,2,0
"PALO","KEWA",1998,1,0,921,"",0,0,0
"PALO","KEWA",2000,1,NA,0,"",0,0,0
"PALO","KEWA",2002,1,0,941,"",0,0,0
"PALO","KEWA",2009,1,0,1105,"",0,0,0
"PALO","KEWA",2001,1,NA,0,"",0,0,0
"PALO","KEWA",2007,1,0,1085.8,"",0,0,0
"PALO","KEWA",2004,1,0,971.5,"",0,0,0
"PALO","KEWA",2010,1,0,1095,"",0,0,0
"PALO","KEWA",2003,1,0,995,"",0,0,0
"PALO","KEWA",2005,1,0,895.8,"",0,0,0
"PALO","KEWA",2008,1,0,591.5,"",0,0,0
"PALO","KEWA",1997,1,0,743.1,"",0,0,0
"PALO","KEWA",2006,1,0,674.8,"",0,0,0
"PALO","LATH",2000,1,NA,0,"",1,3,0
"PALO","LATH",2003,1,0,995,"",1,3,0
"PALO","LATH",2007,1,1,1085.8,"",1,3,0
"PALO","LATH",2006,1,0,674.8,"",1,3,0
"PALO","LATH",1997,1,0,743.1,"",1,3,0
"PALO","LATH",2001,1,NA,0,"",1,3,0
"PALO","LATH",2008,1,1,591.5,"",1,3,0
"PALO","LATH",1998,1,3,921,"",1,3,0
"PALO","LATH",2002,1,1,941,"",1,3,0
"PALO","LATH",2004,1,1,971.5,"",1,3,0
"PALO","LATH",2005,1,0,895.8,"",1,3,0
"PALO","LATH",2010,1,1,1095,"",1,3,0
"PALO","LATH",2009,1,0,1105,"",1,3,0
"PALO","MYWA",1998,1,0,921,"",0,0,0
"PALO","MYWA",2001,1,NA,0,"",0,0,0
"PALO","MYWA",2003,1,0,995,"",0,0,0
"PALO","MYWA",2005,1,0,895.8,"",0,0,0
"PALO","MYWA",2006,1,0,674.8,"",0,0,0
"PALO","MYWA",2000,1,NA,0,"",0,0,0
"PALO","MYWA",2010,1,0,1095,"",0,0,0
"PALO","MYWA",1997,1,0,743.1,"",0,0,0
"PALO","MYWA",2009,1,0,1105,"",0,0,0
"PALO","MYWA",2008,1,0,591.5,"",0,0,0
"PALO","MYWA",2004,1,0,971.5,"",0,0,0
"PALO","MYWA",2002,1,0,941,"",0,0,0
"PALO","MYWA",2007,1,0,1085.8,"",0,0,0
"PALO",NA,2008,2,NA,0,"",0,0,0
"PALO",NA,2007,2,NA,0,"",0,0,0
"PALO","NBTO",2010,1,9,1095,"",11,10,3
"PALO","NBTO",2003,1,4,995,"",11,10,3
"PALO","NBTO",2001,1,NA,0,"",11,10,3
"PALO","NBTO",2000,1,NA,0,"",11,10,3
"PALO","NBTO",2006,1,3,674.8,"",11,10,3
"PALO","NBTO",2007,1,6,1085.8,"",11,10,3
"PALO","NBTO",2004,1,3,971.5,"",11,10,3
"PALO","NBTO",2002,1,7,941,"",11,10,3
"PALO","NBTO",2008,1,10,591.5,"",11,10,3
"PALO","NBTO",2009,1,6,1105,"",11,10,3
"PALO","NBTO",1997,1,6,743.1,"",11,10,3
"PALO","NBTO",2005,1,3,895.8,"",11,10,3
"PALO","NBTO",1998,1,8,921,"",11,10,3
"PALO","OVEN",2009,1,5,1105,"",11,13,3
"PALO","OVEN",2007,1,13,1085.8,"",11,13,3
"PALO","OVEN",1997,1,8,743.1,"",11,13,3
"PALO","OVEN",1998,1,3,921,"",11,13,3
"PALO","OVEN",2000,1,NA,0,"",11,13,3
"PALO","OVEN",2010,1,10,1095,"",11,13,3
"PALO","OVEN",2004,1,3,971.5,"",11,13,3
"PALO","OVEN",2002,1,6,941,"",11,13,3
"PALO","OVEN",2006,1,9,674.8,"",11,13,3
"PALO","OVEN",2005,1,5,895.8,"",11,13,3
"PALO","OVEN",2001,1,NA,0,"",11,13,3
"PALO","OVEN",2008,1,4,591.5,"",11,13,3
"PALO","OVEN",2003,1,3,995,"",11,13,3
"PALO","PIWA",2004,1,0,971.5,"",0,1,0
"PALO","PIWA",1998,1,1,921,"",0,1,0
"PALO","PIWA",1997,1,0,743.1,"",0,1,0
"PALO","PIWA",2005,1,0,895.8,"",0,1,0
"PALO","PIWA",2007,1,0,1085.8,"",0,1,0
"PALO","PIWA",2009,1,0,1105,"",0,1,0
"PALO","PIWA",2001,1,NA,0,"",0,1,0
"PALO","PIWA",2006,1,0,674.8,"",0,1,0
"PALO","PIWA",2010,1,0,1095,"",0,1,0
"PALO","PIWA",2008,1,0,591.5,"",0,1,0
"PALO","PIWA",2000,1,NA,0,"",0,1,0
"PALO","PIWA",2002,1,0,941,"",0,1,0
"PALO","PIWA",2003,1,0,995,"",0,1,0
"PALO","RLTH",2000,1,NA,0,"",2,3,0
"PALO","RLTH",2004,1,0,971.5,"",2,3,0
"PALO","RLTH",2002,1,0,941,"",2,3,0
"PALO","RLTH",1998,1,1,921,"",2,3,0
"PALO","RLTH",1997,1,2,743.1,"",2,3,0
"PALO","RLTH",2006,1,0,674.8,"",2,3,0
"PALO","RLTH",2001,1,NA,0,"",2,3,0
"PALO","RLTH",2003,1,0,995,"",2,3,0
"PALO","RLTH",2008,1,1,591.5,"",2,3,0
"PALO","RLTH",2005,1,0,895.8,"",2,3,0
"PALO","RLTH",2010,1,3,1095,"",2,3,0
"PALO","RLTH",2009,1,1,1105,"",2,3,0
"PALO","RLTH",2007,1,0,1085.8,"",2,3,0
"PALO","RNPI",2009,1,0,1105,"",0,0,0
"PALO","RNPI",1998,1,0,921,"",0,0,0
"PALO","RNPI",2008,1,0,591.5,"",0,0,0
"PALO","RNPI",2004,1,0,971.5,"",0,0,0
"PALO","RNPI",2001,1,NA,0,"",0,0,0
"PALO","RNPI",1997,1,0,743.1,"",0,0,0
"PALO","RNPI",2010,1,0,1095,"",0,0,0
"PALO","RNPI",2007,1,0,1085.8,"",0,0,0
"PALO","RNPI",2002,1,0,941,"",0,0,0
"PALO","RNPI",2006,1,0,674.8,"",0,0,0
"PALO","RNPI",2005,1,0,895.8,"",0,0,0
"PALO","RNPI",2000,1,NA,0,"",0,0,0
"PALO","RNPI",2003,1,0,995,"",0,0,0
"PALO","RTSO",2005,1,4,895.8,"",11,12,3
"PALO","RTSO",2003,1,8,995,"",11,12,3
"PALO","RTSO",2009,1,3,1105,"",11,12,3
"PALO","RTSO",2000,1,NA,0,"",11,12,3
"PALO","RTSO",2008,1,6,591.5,"",11,12,3
"PALO","RTSO",2006,1,5,674.8,"",11,12,3
"PALO","RTSO",2002,1,11,941,"",11,12,3
"PALO","RTSO",2007,1,10,1085.8,"",11,12,3
"PALO","RTSO",1997,1,10,743.1,"",11,12,3
"PALO","RTSO",1998,1,12,921,"",11,12,3
"PALO","RTSO",2010,1,10,1095,"",11,12,3
"PALO","RTSO",2004,1,7,971.5,"",11,12,3
"PALO","RTSO",2001,1,NA,0,"",11,12,3
"PALO","SSHA",2009,1,0,1105,"",1,2,0
"PALO","SSHA",2010,1,1,1095,"",1,2,0
"PALO","SSHA",1997,1,2,743.1,"",1,2,0
"PALO","SSHA",2005,1,1,895.8,"",1,2,0
"PALO","SSHA",2002,1,0,941,"",1,2,0
"PALO","SSHA",2004,1,0,971.5,"",1,2,0
"PALO","SSHA",2006,1,0,674.8,"",1,2,0
"PALO","SSHA",2003,1,0,995,"",1,2,0
"PALO","SSHA",2001,1,NA,0,"",1,2,0
"PALO","SSHA",2008,1,0,591.5,"",1,2,0
"PALO","SSHA",1998,1,0,921,"",1,2,0
"PALO","SSHA",2000,1,NA,0,"",1,2,0
"PALO","SSHA",2007,1,1,1085.8,"",1,2,0
"PALO","SWWA",2009,1,0,1105,"",1,2,0
"PALO","SWWA",2003,1,0,995,"",1,2,0
"PALO","SWWA",2000,1,NA,0,"",1,2,0
"PALO","SWWA",2002,1,0,941,"",1,2,0
"PALO","SWWA",2007,1,0,1085.8,"",1,2,0
"PALO","SWWA",1998,1,2,921,"",1,2,0
"PALO","SWWA",2004,1,0,971.5,"",1,2,0
"PALO","SWWA",2005,1,0,895.8,"",1,2,0
"PALO","SWWA",1997,1,0,743.1,"",1,2,0
"PALO","SWWA",2008,1,0,591.5,"",1,2,0
"PALO","SWWA",2001,1,NA,0,"",1,2,0
"PALO","SWWA",2006,1,0,674.8,"",1,2,0
"PALO","SWWA",2010,1,0,1095,"",1,2,0
"PALO","WCHT",2001,1,NA,0,"",10,10,1
"PALO","WCHT",2008,1,2,591.5,"",10,10,1
"PALO","WCHT",2007,1,2,1085.8,"",10,10,1
"PALO","WCHT",2010,1,4,1095,"",10,10,1
"PALO","WCHT",1997,1,10,743.1,"",10,10,1
"PALO","WCHT",2009,1,3,1105,"",10,10,1
"PALO","WCHT",2002,1,6,941,"",10,10,1
"PALO","WCHT",2006,1,4,674.8,"",10,10,1
"PALO","WCHT",2004,1,3,971.5,"",10,10,1
"PALO","WCHT",1998,1,3,921,"",10,10,1
"PALO","WCHT",2005,1,1,895.8,"",10,10,1
"PALO","WCHT",2003,1,3,995,"",10,10,1
"PALO","WCHT",2000,1,NA,0,"",10,10,1
"PALO","WEWA",2002,1,0,941,"",0,0,0
"PALO","WEWA",2003,1,0,995,"",0,0,0
"PALO","WEWA",2009,1,0,1105,"",0,0,0
"PALO","WEWA",2005,1,0,895.8,"",0,0,0
"PALO","WEWA",2007,1,0,1085.8,"",0,0,0
"PALO","WEWA",2008,1,0,591.5,"",0,0,0
"PALO","WEWA",2010,1,0,1095,"",0,0,0
"PALO","WEWA",1998,1,0,921,"",0,0,0
"PALO","WEWA",2000,1,NA,0,"",0,0,0
"PALO","WEWA",2006,1,0,674.8,"",0,0,0
"PALO","WEWA",2004,1,0,971.5,"",0,0,0
"PALO","WEWA",2001,1,NA,0,"",0,0,0
"PALO","WEWA",1997,1,0,743.1,"",0,0,0
"PALO","WFQD",2001,1,NA,0,"",0,1,0
"PALO","WFQD",1998,1,1,921,"",0,1,0
"PALO","WFQD",2007,1,0,1085.8,"",0,1,0
"PALO","WFQD",1997,1,0,743.1,"",0,1,0
"PALO","WFQD",2006,1,0,674.8,"",0,1,0
"PALO","WFQD",2000,1,NA,0,"",0,1,0
"PALO","WFQD",2008,1,1,591.5,"",0,1,0
"PALO","WFQD",2002,1,0,941,"",0,1,0
"PALO","WFQD",2003,1,0,995,"",0,1,0
"PALO","WFQD",2010,1,0,1095,"",0,1,0
"PALO","WFQD",2005,1,1,895.8,"",0,1,0
"PALO","WFQD",2004,1,0,971.5,"",0,1,0
"PALO","WFQD",2009,1,0,1105,"",0,1,0
"PUVI","AMRE",2004,1,0,474.9,"",0,1,0
"PUVI","AMRE",2001,1,0,793,"",0,1,0
"PUVI","AMRE",2009,1,0,1106,"",0,1,0
"PUVI","AMRE",2003,1,0,919.5,"",0,1,0
"PUVI","AMRE",2008,1,0,920,"",0,1,0
"PUVI","AMRE",2008,2,0,711.5,"2nd sample in march",0,1,0
"PUVI","AMRE",2005,1,0,940.5,"",0,1,0
"PUVI","AMRE",2007,2,0,1239,"2nd sample in march",0,1,0
"PUVI","AMRE",2010,1,0,951,"",0,1,0
"PUVI","AMRE",1998,1,0,947,"",0,1,0
"PUVI","AMRE",2007,1,0,1481,"",0,1,0
"PUVI","AMRE",1997,1,1,1136.8,"",0,1,0
"PUVI","AMRE",2002,1,1,867.5,"",0,1,0
"PUVI","AMRE",2000,1,0,571,"",0,1,0
"PUVI","AMRE",2006,1,0,907.9,"",0,1,0
"PUVI","BANA",2009,1,0,1106,"",1,2,0
"PUVI","BANA",1997,1,0,1136.8,"",1,2,0
"PUVI","BANA",2010,1,0,951,"",1,2,0
"PUVI","BANA",2003,1,0,919.5,"",1,2,0
"PUVI","BANA",2001,1,0,793,"",1,2,0
"PUVI","BANA",1998,1,0,947,"",1,2,0
"PUVI","BANA",2007,2,2,1239,"2nd sample in march",1,2,0
"PUVI","BANA",2002,1,0,867.5,"",1,2,0
"PUVI","BANA",2008,2,0,711.5,"2nd sample in march",1,2,0
"PUVI","BANA",2005,1,0,940.5,"",1,2,0
"PUVI","BANA",2004,1,1,474.9,"",1,2,0
"PUVI","BANA",2008,1,1,920,"",1,2,0
"PUVI","BANA",2007,1,0,1481,"",1,2,0
"PUVI","BANA",2006,1,0,907.9,"",1,2,0
"PUVI","BANA",2000,1,0,571,"",1,2,0
"PUVI","BAWW",2005,1,1,940.5,"",8,5,0
"PUVI","BAWW",1998,1,2,947,"",8,5,0
"PUVI","BAWW",2006,1,2,907.9,"",8,5,0
"PUVI","BAWW",2000,1,3,571,"",8,5,0
"PUVI","BAWW",2008,1,3,920,"",8,5,0
"PUVI","BAWW",2010,1,1,951,"",8,5,0
"PUVI","BAWW",2003,1,0,919.5,"",8,5,0
"PUVI","BAWW",2007,1,0,1481,"",8,5,0
"PUVI","BAWW",2008,2,1,711.5,"2nd sample in march",8,5,0
"PUVI","BAWW",1997,1,5,1136.8,"",8,5,0
"PUVI","BAWW",2002,1,3,867.5,"",8,5,0
"PUVI","BAWW",2007,2,2,1239,"2nd sample in march",8,5,0
"PUVI","BAWW",2009,1,0,1106,"",8,5,0
"PUVI","BAWW",2001,1,2,793,"",8,5,0
"PUVI","BAWW",2004,1,0,474.9,"",8,5,0
"PUVI","BCPT",2008,2,2,711.5,"2nd sample in march",11,15,0
"PUVI","BCPT",2006,1,4,907.9,"",11,15,0
"PUVI","BCPT",2003,1,9,919.5,"",11,15,0
