Repeat.New,Species,Metal.Band,Color.bands,TempMarker,Date,Time,Age,HA,Sex,HS,Wing,Weight,Location,Bander,Fat,CP,BP,Ectos,Wear,Net.Location,Comments,Tarsus,Exp.Culmen,Culmen.Nares,Culmen.Width,Culmen.Depth,Tail,Hg.Blood.ID,Hg.Tail.ID,Hg.Secondaries.ID,ToanailID,individual
1,BITH,122180013,YX/YO,NA,12/3/1995,710,1,1,0,NA,89,29.1,PUVI,KPM,0,0,0,NA,2, 5.A,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 122180013,,
1,BITH,122180014,LGY/RX,NA,12/3/1995,820,1,19,0,NA,93,27.4,PUVI,KPM,5,0,0,NA,1, 5.A,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 122180014,,
1,BITH,147147979,RR/BKX,NA,12/3/1995,930,2,19,0,NA,86,26,PUVI,JFC,1,0,0,NA,1, 3.E,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 147147979,,
1,BTBW,205083229,NA,NA,12/4/1995,1000,0,NA,5,1,62,8.5,PUVI,JFC,0,0,0,NA,1,1-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTBW _ 205083229,,
1,OVEN,213158611,NA,NA,12/4/1995,1030,2,12,0,NA,76,19.6,PUVI,CCR,0,0,0,NA,1,1A.25E,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158611,,
1,OVEN,213158610,NA,NA,12/4/1995,750,0,NA,0,NA,71,19.2,PUVI,CCR,1,0,0,NA,1,1A.25E,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158610,,
1,OVEN,213158609,NA,NA,12/4/1995,730,0,NA,0,NA,75,19.7,PUVI,CCR,0,0,0,NA,1,1A.25W,AHY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158609,,
2,OVEN,213158608,NA,NA,12/4/1995,730,0,NA,0,NA,70.5,18.1,PUVI,CCR,5,0,0,NA,1,1A.25E,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158608,,
1,OVEN,213158512,NA,NA,12/4/1995,1100,2,19,0,NA,76,21.1,PUVI,KPM,5,0,0,NA,2,5F,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158512,,
1,OVEN,213158511,NA,NA,12/4/1995,700,2,19,0,NA,70,18.3,PUVI,KPM,0,0,0,NA,2,5C.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158511,,
1,OVEN,213158510,NA,NA,12/4/1995,710,2,9,0,NA,72.5,18.2,PUVI,KPM,5,0,0,NA,2,5E,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158510,,
1,OVEN,213158420,NA,NA,12/4/1995,800,2,9,0,NA,72,18.6,PUVI,JFC,0,0,0,NA,1,3B.25,9=RECT,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158420,,
1,BITH,148127619,Y-VX/Y-VLB,NA,12/4/1995,710,2,1,0,NA,91.5,28.9,PUVI,CCR,5,0,0,NA,1, 1A.25E,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127619,,
1,OVEN,213158613,NA,NA,12/5/1995,1810,2,1,0,NA,77,20.3,PUVI,CCR,5,NA,NA,NA,1,1J.25,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158613,,
1,OVEN,213158612,NA,NA,12/5/1995,1010,2,12,0,NA,72,21.3,PUVI,CCR,5,0,0,NA,1,1H,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158612,,
1,OVEN,213158423,NA,NA,12/5/1995,1000,2,9,0,NA,71,19,PUVI,JFC,5,0,0,NA,1,3C,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158423,,
1,OVEN,213158422,NA,NA,12/5/1995,1000,2,9,4,4,75.5,18.5,PUVI,PRW,NA,0,0,NA,2,3A,9=RECT,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158422,,
1,OVEN,213158421,NA,NA,12/5/1995,730,2,9,5,4,69,18.9,PUVI,JFC,5,0,0,NA,1,3B.25,9=RECT,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158421,,
2,OVEN,213158418,NA,NA,12/5/1995,1200,2,12,0,NA,74,21.4,PUVI,CCR,5,0,0,NA,1,1C.25,HY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158418,,
1,BITH,122180015,YX/LBY,NA,12/5/1995,720,2,19,0,NA,85,26.5,PUVI,KPM,5,0,0,NA,2, 5.A,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 122180015,,
2,BITH,148127619,Y-VX/Y-VLB,NA,12/5/1995,1000,2,19,0,NA,93,29.3,PUVI,JFC,1,0,0,NA,1, 3.A,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127619,,
1,BITH,148127620,PI-DGX/RY,NA,12/5/1995,630,2,1,4,NA,88.5,25.5,PUVI,CCR,5,0,0,NA,1,1K,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127620,,
1,BITH,148127621,DBY/W-RX,NA,12/6/1995,630,1,91,0,NA,96.5,26.7,PALO,CCR,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127621,,
1,BFGR,205083473,NA,NA,12/9/1996,920,1,12,5,1,52.5,10.5,PUVI,KPM,0,0,0,NA,NA,5A.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFGR _ 205083473,,
1,GTGT,43,LGX/RBK,NA,12/9/1996,1220,1,13,0,NA,60,14,PUVI,KPM,5,0,0,NA,NA,3C + 10M,BRIGHT EYE,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 43,,
1,GTGT,66,RLB/LG,NA,12/9/1996,1040,1,3,0,NA,63.5,14.5,PUVI,JEG,5,0,0,NA,NA,3C.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 66,,
1,GTGT,69,RR/LG,NA,12/9/1996,920,1,13,0,NA,64,13,PUVI,JEG,5,0,0,NA,NA,3C.25,EYE=RED-ORANGE,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 69,,
1,GTGT,70,RW/LG,NA,12/9/1996,1040,2,23,0,NA,62,13.5,PUVI,JEG,5,0,0,NA,NA,3C.25,EYE NOT AS BRIGHT,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 70,,
1,GTGT,71,RY/LG,NA,12/9/1996,1040,1,13,0,NA,61,NA,PUVI,JEG,0,0,0,NA,1,3C.25,EYE=BRIGHT RED,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 71,,
1,GTGT,83,YLB/R,NA,12/9/1996,1150,0,NA,0,NA,65,14.4,PUVI,CCR,5,0,0,NA,NA,1F,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 83,,
1,GTGT,84,YO/O,NA,12/9/1996,1140,0,NA,0,NA,62,NA,PUVI,CCR,5,0,0,NA,NA,1H,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 84,,
2,GTGT,84,YO/O,NA,12/9/1996,1850,0,NA,0,NA,62,14.1,PUVI,CCR,5,0,0,NA,NA,1C.25,CAP AT 1140,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 84,,
1,GTGT,NA,LB/DBDB,NA,12/9/1996,1820,2,3,0,NA,63,12.5,PUVI,KPM,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LB/DBDB,,
1,GTGT,NA,LB/OO,NA,12/9/1996,1830,1,3,0,NA,64,15.5,PUVI,KPM,NA,0,0,NA,NA,5C.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LB/OO,,
1,GTGT,NA,LB/RR,NA,12/9/1996,1030,1,3,0,NA,63,13.9,PUVI,KPM,0,0,0,NA,NA,5G-10M,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LB/RR,,
1,GTGT,NA,LB/YY,NA,12/9/1996,1820,1,3,0,NA,66,14.5,PUVI,KPM,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LB/YY,,
1,GTGT,NA,RDB/LG,NA,12/9/1996,1220,2,13,0,NA,61,NA,PUVI,JEG,5,0,0,NA,NA,3C + 10M,DULL EYE,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ RDB/LG,,
1,NBTO,NA,NA,RL56,12/9/1996,740,0,NA,0,NA,47.5,6.5,PUVI,KPM,5,0,0,NA,NA,5C.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBTO _ Session 2 RL56,,
1,OVEN,213158638,NA,NA,12/9/1996,830,2,2,0,NA,75.5,20.6,PUVI,JEG,0,0,0,NA,1,3C,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158638,,
1,OVEN,213158516,NA,NA,12/9/1996,740,0,NA,0,NA,72,19.4,PUVI,KPM,5,0,0,NA,NA,5A.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158516,,
2,OVEN,213158509,NA,NA,12/9/1996,740,1,NA,0,NA,76,19.1,PUVI,KPM,5,0,0,NA,NA,5A.25,AHY TAIL,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158509,,
1,OVEN,213157682,NA,NA,12/9/1996,1830,2,12,0,NA,75.5,21.3,PUVI,CCR,1,0,0,NA,NA,1H,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213157682,,
1,RTSO,213157681,NA,NA,12/9/1996,1050,1,NA,0,NA,85,29.1,PUVI,CCR,5,0,0,NA,4,1H,MOLT CARD,NA,NA,NA,NA,NA,NA,NA,NA,RTSO _ 213157681,,
1,HHTA,828,DBY/O,NA,12/9/1996,1040,0,NA,0,NA,60.5,12,PUVI,CCR,5,0,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,HHTA _ 828,,
1,BAWW,205083474,NA,NA,12/10/1996,1220,1,1,4,1,67.5,10.3,PUVI,JEG,5,0,0,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAWW _ 205083474,,
1,BCPT,NA,YLB/R,NA,12/10/1996,1410,0,NA,0,NA,90,29.6,PUVI,JEG,5,0,0,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,BCPT _ YLB/R,,
1,GABU,122180041,NA,NA,12/10/1996,1810,2,1,0,NA,65,20.6,PUVI,CCR,1,0,0,NA,1,1J.25W,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 122180041,,
1,GABU,124110944,NA,NA,12/10/1996,1700,2,1,0,NA,72,24.8,PUVI,KPM,5,0,0,NA,NA,17,GAPE,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110944,,
1,GABU,124110945,NA,NA,12/10/1996,1820,2,1,0,NA,68.5,23.7,PUVI,JEG,5,0,0,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110945,,
1,GABU,153148231,NA,NA,12/10/1996,730,2,12,0,NA,73.5,24.7,PUVI,CCR,5,0,0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 153148231,,
1,GAEL,175062310,NA,NA,12/10/1996,1830,2,12,0,NA,71,9.5,PUVI,CCR,5,0,0,NA,0,1J.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAEL _ 175062310,,
1,GTGT,839,XLB/YDB,NA,12/10/1996,1900,1,3,0,NA,65,15,PUVI,KPM,5,0,0,NA,2,57,RED EYE,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ 839,,
1,GTGT,NA,LB/RO,NA,12/10/1996,950,2,23,0,NA,60,14.5,PUVI,CCR,5,0,0,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LB/RO,,
1,GTGT,NA,LG/DBDB,NA,12/10/1996,850,2,3,0,NA,65,15.4,PUVI,JEG,5,0,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LG/DBDB,,
1,GTGT,NA,RO/LB,NA,12/10/1996,1900,1,3,0,NA,64.5,15.9,PUVI,KPM,1,0,0,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ RO/LB,,
2,GTGT,NA,YO/O,NA,12/10/1996,1040,1,3,0,NA,62.5,12.9,PUVI,JEG,5,0,0,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ YO/O,,
1,GTGT,NA,YR/LB,NA,12/10/1996,1900,1,3,0,NA,64.5,15,PUVI,KPM,5,0,0,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ YR/LB,,
1,HIEM,NA,NA,R6,12/10/1996,730,1,1,4,1,NA,4.2,PUVI,KPM,NA,0,0,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIEM _ Session 2 R6,,
1,HITR,NA,/R,NA,12/10/1996,1400,0,NA,4,1,139,74.1,PUVI,CCR,0,0,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,HITR _ /R,,
1,HITR,NA,/Y,NA,12/10/1996,1400,0,NA,4,1,134,76.8,PUVI,KPM,0,0,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,HITR _ /Y,,
0,NBTO,NA,NA,NA,12/10/1996,1600,0,NA,0,NA,47,7.5,PUVI,JEG,5,0,0,NA,1,33,NO MARKING,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,OVEN,213158640,NA,NA,12/10/1996,800,2,2,0,NA,73.5,19.4,PUVI,JEG,5,0,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158640,,
1,OVEN,213158639,NA,NA,12/10/1996,720,0,NA,0,NA,73,18.2,PUVI,JEG,NA,0,0,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158639,,
2,OVEN,213158638,NA,NA,12/10/1996,710,2,2,0,NA,75.5,20.3,PUVI,JEG,NA,0,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158638,,
1,OVEN,213158517,NA,NA,12/10/1996,1750,2,2,0,NA,74,21.4,PUVI,JEG,1,0,0,NA,NA,12,BROKEN LEFT LEG,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158517,,
1,RLTH,91213414,NA,NA,12/10/1996,1050,0,NA,0,NA,121,69.7,PUVI,JEG,0,0,0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLTH _ 91213414,,
1,RTSO,213157683,NA,NA,12/10/1996,1100,0,NA,0,NA,91,30.8,PUVI,CCR,0,0,0,NA,1,1J.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,RTSO _ 213157683,,
1,HISP,213158518,NA,NA,12/10/1996,1900,1,1,0,NA,75.5,25.7,PUVI,CCR,5,0,0,NA,1,51,MCARD,NA,NA,NA,NA,NA,NA,NA,NA,HISP _ 213158518,,
0,HISP,NA,NA,NA,12/10/1996,1900,1,1,0,NA,72,NA,PUVI,KPM,NA,0,0,NA,NA,37,MOLT CARD; DIED IN BAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,WCHT,NA,DB/PIPI,NA,12/10/1996,950,0,NA,0,NA,87.5,46.8,PUVI,KPM,5,0,0,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCHT _ DB/PIPI,,
1,WCHT,NA,DB/RLB,NA,12/10/1996,950,0,NA,0,NA,78.5,44.7,PUVI,JEG,5,0,0,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCHT _ DB/RLB,,
1,WCHT,NA,PI/DB,NA,12/10/1996,950,0,NA,0,NA,91.5,53,PUVI,CCR,0,0,0,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCHT _ PI/DB,,
1,WCHT,NA,R/YPI,NA,12/10/1996,1530,0,NA,0,NA,97,55.3,PUVI,CCR,5,0,0,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,WCHT _ R/YPI,,
1,BITH,124110943,LBX/RO,NA,12/10/1996,820,1,19,4,NA,93,30.1,PUVI,KPM,5,0,0,NA,1,57,AHY tail,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 124110943,,
1,BAWW,175062311,NA,NA,12/11/1996,1640,1,1,5,1,66,11.8,PUVI,CCR,1,NA,NA,NA,NA,1H.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAWW _ 175062311,,
1,BCPT,NA,LB/YY,NA,12/11/1996,1430,0,NA,0,NA,89.5,28.5,PUVI,KPM,5,0,0,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,BCPT _ LB/YY,,
1,BCPT,NA,RR/LB,NA,12/11/1996,740,0,NA,0,NA,84.5,29.6,PUVI,KPM,0,0,0,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,BCPT _ RR/LB,,
1,BFGR,205083475,NA,NA,12/11/1996,950,1,12,4,15,53,10.1,PUVI,KPM,0,3,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFGR _ 205083475,,
1,BFGR,205083476,NA,NA,12/11/1996,1100,1,16,5,16,49.5,11.1,PUVI,KPM,0,0,3,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFGR _ 205083476,,
0,BFGR,NA,NA,NA,12/11/1996,940,1,1,4,15,54,9.9,PUVI,DSN,5,2,0,NA,NA,11,DIED IN NET,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,BFGR,205083475,NA,NA,12/11/1996,950,1,16,5,16,52,11.6,PUVI,KPM,0,0,3,NA,NA,11,DIED,NA,NA,NA,NA,NA,NA,NA,NA,BFGR _ 205083475,,
1,BTBW,205083477,NA,NA,12/11/1996,1540,0,NA,5,1,59.5,9.1,PUVI,JEG,5,0,0,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTBW _ 205083477,,
1,GTGT,NA,LBW/PI,NA,12/11/1996,830,2,13,0,NA,62.5,14.1,PUVI,CCR,5,0,0,2,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LBW/PI,,
1,GTGT,NA,R/RY,NA,12/11/1996,1500,1,13,0,NA,61,15.4,PUVI,CCR,5,0,0,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ R/RY,,
1,HIEM,NA,NA,L34,12/11/1996,1320,0,NA,0,NA,52,4,PUVI,JEG,5,0,0,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIEM _ Session 2 L34,,
0,NBTO,NA,NA,NA,12/11/1996,1630,0,NA,0,NA,41,7.5,PUVI,JEG,5,0,0,NA,1,33,NO MARKING,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,OVEN,213158520,NA,NA,12/11/1996,1030,0,NA,0,NA,78,20.4,PUVI,KPM,5,0,0,NA,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158520,,
1,OVEN,213158519,NA,NA,12/11/1996,910,2,2,0,NA,70,17.7,PUVI,KPM,0,0,0,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,OVEN _ 213158519,,
1,RLTH,91213415,NA,NA,12/11/1996,830,2,2,0,NA,115,72.1,PUVI,JEG,5,0,0,NA,NA,35,BROWN EYE; BLACK TIP BILL,NA,NA,NA,NA,NA,NA,NA,NA,RLTH _ 91213415,,
1,RLTH,91213416,NA,NA,12/11/1996,840,0,NA,0,NA,131.5,72.3,PUVI,KPM,5,0,0,2,0,53,BROWN EYE; BILL ALL RED,NA,NA,NA,NA,NA,NA,NA,NA,RLTH _ 91213416,,
1,HISP,124110946,NA,NA,12/11/1996,1320,2,12,0,NA,75.5,25.3,PUVI,KPM,5,0,0,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,HISP _ 124110946,,
1,HISP,124110947,NA,NA,12/11/1996,1800,2,1,4,1,79.5,25.6,PUVI,JEG,5,0,0,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,HISP _ 124110947,,
0,HHTA,NA,NA,NA,12/11/1996,1040,2,2,0,NA,61,12.3,PUVI,JEG,5,0,0,NA,2,36,HY TAIL?  POINTED.  NO COLOR BANDS??,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,BITH,148127618,BK-OX/YLB,NA,12/11/1996,940,1,9,0,NA,85,25.4,PUVI,CCR,5,0,0,NA,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127618,,
2,BITH,148127620,PI-DGX/RY-,NA,12/11/1996,750,1,9,4,NA,91.5,25.2,PUVI,CCR,5,0,0,NA,1,1H.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITH _ 148127620,,
1,BFGR,205083480,NA,NA,12/12/1996,1520,1,15,4,15,50,9.8,PUVI,CCR,5,2,0,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,BFGR _ 205083480,,
0,BFGR,NA,NA,NA,12/12/1996,1200,1,6,5,6,53.5,11.2,PUVI,JEG,5,0,3,NA,2,5C-10M,FORGOT TO BAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,BTBW,205083229,NA,NA,12/12/1996,1520,1,1,5,1,59.5,8.3,PUVI,CCR,5,0,0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTBW _ 205083229,,
1,BTBW,205083481,NA,NA,12/12/1996,1620,0,NA,5,1,60.5,9.1,PUVI,KPM,5,0,0,NA,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,BTBW _ 205083481,,
1,COYE,205083478,NA,NA,12/12/1996,1300,2,1,4,1,53.5,10.1,PUVI,KPM,5,0,0,NA,NA,5B.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,COYE _ 205083478,,
1,COYE,205083479,NA,NA,12/12/1996,1300,1,1,4,1,56,10.6,PUVI,KPM,0,0,0,NA,1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,COYE _ 205083479,,
1,GABU,124110948,NA,NA,12/12/1996,750,2,12,0,NA,69,20.7,PUVI,PRW,5,0,0,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110948,,
1,GABU,124110949,NA,NA,12/12/1996,1600,2,12,0,0,73,26.7,PUVI,JMA,5,0,0,NA,2,15,DID NOT FLY,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110949,,
1,GABU,124110950,NA,NA,12/12/1996,1550,2,12,0,0,74,24,PUVI,JAM,5,0,0,NA,2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110950,,
1,GABU,124110951,NA,NA,12/12/1996,1700,1,1,5,1,68,21.5,PUVI,CCR,5,0,0,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,GABU _ 124110951,,
1,GTGT,NA,DBDB/O,NA,12/12/1996,750,2,13,0,NA,60,NA,PUVI,CCR,5,NA,NA,NA,NA,1HW,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ DBDB/O,,
1,GTGT,NA,DBO/PI,NA,12/12/1996,1200,1,3,0,NA,63.5,13.9,PUVI,JEG,5,0,0,NA,1,5C+6M,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ DBO/PI,,
1,GTGT,NA,DBR/PI,NA,12/12/1996,1200,1,3,0,NA,NA,NA,PUVI,JEG,5,0,0,NA,NA,53,DID NOT FLY,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ DBR/PI,,
1,GTGT,NA,DBW/PI,NA,12/12/1996,1430,1,3,0,NA,64.5,15.2,PUVI,JEG,5,0,0,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ DBW/PI,,
1,GTGT,NA,DBY/PI,NA,12/12/1996,1020,1,3,0,NA,NA,NA,PUVI,JMA,5,0,0,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ DBY/PI,,
2,GTGT,NA,LBW/PI,NA,12/12/1996,1750,2,13,0,NA,62.5,14.8,PUVI,KPM,1,0,0,NA,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ LBW/PI,,
1,GTGT,NA,O/RLB,NA,12/12/1996,930,1,13,0,NA,65.5,15.4,PUVI,CCR,5,0,0,NA,1,18,ALBINO,NA,NA,NA,NA,NA,NA,NA,NA,GTGT _ O/RLB,,
0,GTGT,NA,NA,NA,12/12/1996,930,1,13,0,NA,63,15.2,PUVI,KPM,5,0,0,NA,1,18,DIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,NBTO,NA,NA,R46,12/12/1996,1230,0,NA,0,NA,41.5,6.9,PUVI,JEG,5,0,0,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBTO _ Session 2 R46,,
1,NBTO,NA,NA,R456,12/12/1996,1300,0,NA,0,NA,41,6.9,PUVI,KPM,1,0,0,NA,2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBTO _ Session 2 R456,,
